alert_id,client_id,client_name,provincia,comunidad_autonoma,zone,agent_id,product_id,alert_type,risk_level,client_value,churn_probability,purchase_propensity,predicted_next_purchase,last_order_date,alert_score,explanation,ctx_productos_afectados,ctx_n_productos,ctx_gasto_anual_real,ctx_gasto_esperado,ctx_dias_desde_compra,ctx_tiempo_medio_recompra,ctx_zscore_momento,ctx_potencial_clase,ctx_num_compras_anteriores,ctx_total_compras_otros,ctx_vuelve_a_comprar,inference_reference_date,inference_window_start,inference_window_end
ALT-9D99C88B,26346,Odontología Extremeña,Huelva,Andalucía,south,7,4911,Producto 4911,Alto,Alto,99.89,98.86,2025-11-10,2025-07-18,198.64,"La darrera compra va ser fa 64 dies (dins la seva freqüència habitual de 206 dies). La despesa anual real (808€) supera la mitjana esperada (512€) en un 58%. La propensió de compra és alta (99/100), cosa que suggereix que el client continua actiu en el mercat.",4911,1,807.7,511.8,64.0,206.84758128469468,-0.707,muy_positivo,2,35,0,2025-12-29,2024-06-29,2025-09-29
ALT-0B1235C2,28119,Instituto Dental Gutiérrez y Gutiérrez,Granada,Andalucía,south,7,Combinat,Combinat,Alto,Alto,97.44,95.75,2025-12-24,2025-09-25,197.92,"La darrera compra d'aquest producte va ser fa 336 dies (mitjana habitual: 299 dies, retard de 36 dies). La despesa anual real (113€) supera la mitjana esperada (65€) en un 73%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta diverses línies de producte, indicant una reducció parcial de la relació comercial.","4566, 4567",2,113.23,65.35,336.0,299.14503950834063,-0.707,muy_positivo,2,15,0,2025-12-29,2024-06-29,2025-09-29
ALT-A3A5BB87,13953,Consulta Dental Atlántica,Cáceres,Extremadura,south,7,Total,Total,Alto,Alto,92.26,63.96,2025-10-29,2025-09-16,197.91,"La darrera compra d'aquest producte va ser fa 517 dies (mitjana habitual: 134 dies, retard de 382 dies). La despesa anual real en aquest producte (266€) és un 27% inferior a la mitjana esperada (363€). La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta múltiples línies de producte, la qual cosa apunta a un canvi global en la relació comercial.","3408, 4912, 5116",3,266.33,363.35,517.0,134.17444825463818,0.0,muy_positivo,3,47,0,2025-12-29,2024-06-29,2025-09-29
ALT-E174A0E1,1000075819,Gabinete Dental Vitalidad,A Coruña,Galicia,north,2,4567,Producto 4567,Alto,Alto,99.59,98.65,2025-10-05,2025-07-14,197.83,"La darrera compra va ser fa 257 dies (dins la seva freqüència habitual de 299 dies). La despesa anual real (189€) supera la mitjana esperada (116€) en un 63%. La propensió de compra és alta (99/100), cosa que suggereix que el client continua actiu en el mercat.",4567,1,188.71,115.83,257.0,299.14503950834063,-0.707,muy_positivo,2,61,0,2025-12-29,2024-06-29,2025-09-29
ALT-E9125D4B,29524,Instituto Dental Madrileña Ruiz,Cáceres,Extremadura,south,8,4567,Producto 4567,Alto,Alto,99.74,98.03,2025-11-02,2025-08-25,197.51,"La darrera compra d'aquest producte va ser fa 1013 dies (mitjana habitual: 299 dies, retard de 713 dies). La despesa anual real (340€) supera la mitjana esperada (261€) en un 30%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat.",4567,1,339.69,261.32,1013.0,299.14503950834063,0.707,muy_positivo,2,24,0,2025-12-29,2024-06-29,2025-09-29
ALT-C1070BAB,8851,Centro Odontológico Ramírez,Pontevedra,Galicia,north,2,Combinat,Combinat,Alto,Alto,96.79,84.11,2025-12-27,2025-09-24,197.44,"La darrera compra d'aquest producte va ser fa 212 dies (mitjana habitual: 150 dies, retard de 61 dies). La despesa anual real (4413€) supera la mitjana esperada (1537€) en un 187%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta diverses línies de producte, indicant una reducció parcial de la relació comercial.","4565, 5103",2,4412.64,1536.75,212.0,150.6395395799677,-0.522,muy_positivo,4,36,0,2025-12-29,2024-06-29,2025-09-29
ALT-BA866136,40243,Gabinete Dental Gallego - Óptima,Palencia,Castilla y León,north,2,Combinat,Combinat,Alto,Alto,99.1,97.25,2025-11-25,2025-09-29,197.34,"La darrera compra d'aquest producte va ser fa 228 dies (mitjana habitual: 158 dies, retard de 69 dies). La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta diverses línies de producte, indicant una reducció parcial de la relació comercial.","3408, 4566",2,580.24,565.26,228.0,158.4045798388423,-0.713,muy_positivo,4,26,0,2025-12-29,2024-06-29,2025-09-29
ALT-EF0CFFAD,3685,Consulta Dental Armonía Muñoz,Asturias,Asturias,north,2,3408,Producto 3408,Alto,Alto,99.03,99.22,2025-08-03,2025-05-28,197.29,"La darrera compra d'aquest producte va ser fa 1057 dies (mitjana habitual: 184 dies, retard de 872 dies). La despesa anual real (73€) supera la mitjana esperada (41€) en un 78%. La propensió de compra és alta (99/100), cosa que suggereix que el client continua actiu en el mercat.",3408,1,73.29,41.16,1057.0,184.3205158128136,0.707,muy_positivo,2,22,0,2025-12-29,2024-06-29,2025-09-29
ALT-F39EFD91,8704,Centro Odontológico Montero,Madrid,Comunidad de Madrid,south,8,4912,Producto 4912,Alto,Alto,98.99,99.23,2025-05-21,2025-03-11,197.21,"La darrera compra d'aquest producte va ser fa 1085 dies (mitjana habitual: 134 dies, retard de 950 dies). La propensió de compra és alta (99/100), cosa que suggereix que el client continua actiu en el mercat.",4912,1,99.38,96.06,1085.0,134.17444825463818,0.707,muy_positivo,2,60,0,2025-12-29,2024-06-29,2025-09-29
ALT-EDA00EF2,1000065462,Policlínica Dental Ortega - Manchega,Almería,Andalucía,south,7,Combinat,Combinat,Alto,Alto,96.92,96.77,2025-10-25,2025-09-24,196.86,"La darrera compra d'aquest producte va ser fa 383 dies (mitjana habitual: 206 dies, retard de 176 dies). La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta diverses línies de producte, indicant una reducció parcial de la relació comercial.","4567, 4911",2,810.12,890.46,383.0,206.84758128469468,-0.4,muy_positivo,4,22,0,2025-12-29,2024-06-29,2025-09-29
